CitationId;RequirementId;CaseId;DocumentId;PdfViewUrl;PdfOpenLinkSv;PdfOpenLinkEn;QuoteText;PageNumber;CharStart;CharEnd;Extractor;VerifieradJaNej;VerifieradAv;VerifieradDatum;Kommentar
CIT-AUTO-000001;KRAV-AUTO-000001;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";Miljö- och byggnadskontoret Mängd (ton) 500 25 100 Beskriv kortfattat hur materialet kommer att användas och hur anläggningsarbetet ska utföras Materialförstärkningen täcks med bärlager och väg-grus.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000002;KRAV-AUTO-000002;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";Beskriv vilken behandling som ska ske av avfallet innan användning, t.ex.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000003;KRAV-AUTO-000003;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";Beskriv om särskilda skyddsåtgärder ska vidtas för att minimera risken för att föroreningar sprids.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000004;KRAV-AUTO-000004;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw2004bcuqwv0icjcu8;http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view"",""Open PDF"")";mer än 10 ton men högst 30 000 ton och avfallet ska användas för byggnads- eller anläggningsändamål, eller 2.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000005;KRAV-AUTO-000005;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";Massorna som ska användas är en betongplatta som funnits under en spannmålstork som brann upp i början av augusti i år.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000006;KRAV-AUTO-000006;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";Betongplattan ska användas som utfyllnad i en vändplan som används för skogsbruket.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000007;KRAV-AUTO-000007;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000008;KRAV-AUTO-000008;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";Enligt bolagets försiktighetsmått 11 framgår följande: För samtliga avfallsmassor som tas in på anläggningen ska det finnas tydlig dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000009;KRAV-AUTO-000009;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";Rutinen ska förklara hur ni avgör när provtagning är nödvändig eller när en bedömning räcker för att fastställa föroreningsinnehållet.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000010;KRAV-AUTO-000010;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";Dokumentation om hur lagring av avfallsmassor på lagringsplatsen ska hanteras så att olika avfallsmassor med olika föroreningsinnehåll inte blandas.;;;;heuristics-v1;Nej;;;
